"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/26/2024 11:18:31:264 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"5","5","1","0.1","no-visualization","500","300","500","2.068","3.632","0.39063571300769356","true"
"4","4","1","0.1","no-visualization","500","300","500","1.772","3.608","0.3974222274052478","true"
"6","6","1","0.1","no-visualization","500","300","500","2.29","3.554","0.3882791828793778","true"
"3","3","1","0.1","no-visualization","500","300","500","1.558","3.602","0.38058786231884056","true"
"2","2","1","0.1","no-visualization","500","300","500","1.258","3.69","0.38355814270771743","true"
"7","7","1","0.1","no-visualization","500","300","500","2.506","3.674","0.3757276268035764","true"
"1","1","1","0.1","no-visualization","500","300","500","1","3.602","0.37848115392249837","true"
"8","8","1","0.1","no-visualization","500","300","500","2.614","3.522","0.38424599160658585","true"
"11","1","1","0.2","no-visualization","500","300","500","1","3.684","0.3507056268350561","true"
"13","3","1","0.2","no-visualization","500","300","500","1.348","3.776","0.33939254706108307","true"
"12","2","1","0.2","no-visualization","500","300","500","1.168","3.876","0.3571014953865726","true"
"9","9","1","0.1","no-visualization","500","300","500","2.716","3.582","0.3821276837959066","true"
"14","4","1","0.2","no-visualization","500","300","500","1.456","3.786","0.3303066797791057","true"
"10","10","1","0.1","no-visualization","500","300","500","3.122","3.65","0.35696632227508035","true"
"16","6","1","0.2","no-visualization","500","300","500","1.74","3.73","0.3555391513210569","true"
"15","5","1","0.2","no-visualization","500","300","500","1.604","3.794","0.35157086834733886","true"
"18","8","1","0.2","no-visualization","500","300","500","2.056","3.714","0.342001555209953","true"
"21","1","1","0.3","no-visualization","500","300","500","1","3.562","0.2287494519863092","true"
"19","9","1","0.2","no-visualization","500","300","500","2.262","3.65","0.343996430234363","true"
"22","2","1","0.3","no-visualization","500","300","500","1.206","3.61","0.28512945522541205","true"
"17","7","1","0.2","no-visualization","500","300","500","2.062","3.692","0.3361727210965908","true"
"20","10","1","0.2","no-visualization","500","300","500","2.406","3.804","0.35129564689208387","true"
"23","3","1","0.3","no-visualization","500","300","500","1.294","3.594","0.2862295269625725","true"
"24","4","1","0.3","no-visualization","500","300","500","1.578","3.642","0.3162156392221765","true"
"25","5","1","0.3","no-visualization","500","300","500","1.584","3.614","0.31155160142348803","true"
"26","6","1","0.3","no-visualization","500","300","500","1.808","3.736","0.32058367486742206","true"
"27","7","1","0.3","no-visualization","500","300","500","1.894","3.46","0.30540169657799077","true"
"28","8","1","0.3","no-visualization","500","300","500","1.986","3.572","0.3352383295992948","true"
