"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/25/2024 22:08:12:429 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","count turtles","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","max-meta >= min-meta"
"2","2","1","0.25","no-visualization","500","300","500","1.17","3.62","0.2801081007488087","true"
"3","3","1","0.25","no-visualization","500","300","500","1.306","3.644","0.2861471763861843","true"
"6","6","1","0.25","no-visualization","500","300","500","1.75","3.54","0.30831838532110095","true"
"7","7","1","0.25","no-visualization","500","300","500","1.804","3.764","0.3035337223904853","true"
"5","5","1","0.25","no-visualization","500","300","500","1.616","3.542","0.3120803233139684","true"
"4","4","1","0.25","no-visualization","500","300","500","1.43","3.608","0.30235276273022743","true"
"8","8","1","0.25","no-visualization","500","300","500","2.024","3.662","0.3243935403539222","true"
"1","1","1","0.25","no-visualization","500","300","500","1","3.612","0.2500779123951538","true"
"12","2","1","0.5","no-visualization","500","300","500","1.358","3.714","0.41984660073310714","true"
"11","1","1","0.5","no-visualization","500","300","500","1","3.612","0.2550198503552293","true"
"9","9","1","0.25","no-visualization","500","300","500","2.034","3.642","0.3024839424141756","true"
"10","10","1","0.25","no-visualization","500","300","500","2.434","3.48","0.3184057099924869","true"
"13","3","1","0.5","no-visualization","500","300","500","1.47","3.714","0.4357689663905069","true"
"15","5","1","0.5","no-visualization","500","300","500","1.742","3.69","0.45633899761709457","true"
"14","4","1","0.5","no-visualization","500","300","500","1.654","3.728","0.4452614861470688","true"
"17","7","1","0.5","no-visualization","500","300","500","1.88","3.626","0.4593468089938678","true"
"18","8","1","0.5","no-visualization","500","300","500","2.046","3.674","0.452430361387535","true"
"19","9","1","0.5","no-visualization","500","300","500","2.16","3.656","0.45657389872375453","true"
"20","10","1","0.5","no-visualization","500","300","500","2.442","3.824","0.47843286948380814","true"
"22","2","1","0.75","no-visualization","500","300","500","1.44","3.652","0.4015587262831275","true"
"21","1","1","0.75","no-visualization","500","300","500","1","3.63","0.2740423541684776","true"
"16","6","1","0.5","no-visualization","500","300","500","1.808","3.544","0.44540897959183695","true"
"23","3","1","0.75","no-visualization","500","300","500","1.676","3.538","0.4540964240006021","true"
"28","8","1","0.75","no-visualization","500","300","500","2.164","3.674","0.4775735649427557","true"
"29","9","1","0.75","no-visualization","500","300","500","2.204","3.664","0.454887229367384","true"
"31","1","1","1","no-visualization","500","300","500","1","3.444","0.33752789543749223","true"
"24","4","1","0.75","no-visualization","500","300","500","1.7","3.628","0.4397745912868756","true"
"26","6","1","0.75","no-visualization","500","300","500","1.904","3.696","0.46174905138399663","true"
"25","5","1","0.75","no-visualization","500","300","500","1.85","3.664","0.45506084272847497","true"
"30","10","1","0.75","no-visualization","500","300","500","2.294","3.526","0.4724583767493308","true"
"27","7","1","0.75","no-visualization","500","300","500","2.05","3.718","0.45804038063715335","true"
"32","2","1","1","no-visualization","500","300","500","1.464","3.572","0.3769747870234918","true"
"33","3","1","1","no-visualization","500","300","500","1.662","3.618","0.439236246271211","true"
"34","4","1","1","no-visualization","500","300","500","1.75","3.674","0.46164381338742405","true"
"35","5","1","1","no-visualization","500","300","500","1.906","3.716","0.45042736785618487","true"
"36","6","1","1","no-visualization","500","300","500","1.938","3.66","0.4735071615586015","true"
"37","7","1","1","no-visualization","500","300","500","2.032","3.654","0.4806176235407004","true"
"40","10","1","1","no-visualization","500","300","500","2.414","3.654","0.5044085948925636","true"
"41","1","1","1.25","no-visualization","500","300","500","1","3.546","0.3300824155390905","true"
"38","8","1","1","no-visualization","500","300","500","2.176","3.596","0.4922896662323341","true"
"42","2","1","1.25","no-visualization","500","300","500","1.462","3.654","0.3798158105078467","true"
"39","9","1","1","no-visualization","500","300","500","2.348","3.686","0.48204634241898475","true"
"46","6","1","1.25","no-visualization","500","300","500","2.064","3.74","0.4758423536295298","true"
"43","3","1","1.25","no-visualization","500","300","500","1.706","3.754","0.446895328166936","true"
"47","7","1","1.25","no-visualization","500","300","500","1.98","3.612","0.458126839465865","true"
"49","9","1","1.25","no-visualization","500","300","500","2.35","3.674","0.49426670287887037","true"
"44","4","1","1.25","no-visualization","500","300","500","1.77","3.686","0.45780852993486526","true"
