"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
".Sugarscape 3 Wealth Distribution.tmp.nlogo"
"meta vs growth"
"02/27/2024 01:12:56:877 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","49","0","49"
"[run number]","max-meta","min-meta","sugar-growback-rate","visualization","initial-population","[step]","mean [metabolism] of turtles","mean [vision] of turtles","(gini-index-reserve / count turtles) * 2","mean [age] of turtles"
"3","3","1","0.1","no-visualization","500","300","1.516","4","0.3669895241477272","10.976"
"5","5","1","0.1","no-visualization","500","300","2.01","4","0.39931791128579475","9.51"
"8","8","1","0.1","no-visualization","500","300","2.954","4","0.37447392803503055","7.758"
"2","2","1","0.1","no-visualization","500","300","1.28","4","0.392363424217169","12.452"
"6","6","1","0.1","no-visualization","500","300","2.268","4","0.3873592375683444","8.942"
"7","7","1","0.1","no-visualization","500","300","2.428","4","0.3762940531345821","9.004"
"4","4","1","0.1","no-visualization","500","300","1.792","4","0.37082091066958317","10.072"
"1","1","1","0.1","no-visualization","500","300","1","4","0.39453095894154383","14.874"
"11","1","1","0.2","no-visualization","500","300","1","4","0.34282338132326323","36.46"
"9","9","1","0.1","no-visualization","500","300","2.772","4","0.3829429628018272","7.514"
"10","10","1","0.1","no-visualization","500","300","3.07","4","0.4028253953088432","8.624"
"12","2","1","0.2","no-visualization","500","300","1.156","4","0.3523642666454161","29.948"
"13","3","1","0.2","no-visualization","500","300","1.316","4","0.33966472177624646","27.766"
"14","4","1","0.2","no-visualization","500","300","1.472","4","0.33412261882038624","27.602"
"15","5","1","0.2","no-visualization","500","300","1.568","4","0.363178453350536","28.368"
"17","7","1","0.2","no-visualization","500","300","1.944","4","0.32741845013031834","23.948"
"16","6","1","0.2","no-visualization","500","300","1.746","4","0.370218102125794","28.072"
"18","8","1","0.2","no-visualization","500","300","2.182","4","0.33237487449295083","24.596"
"19","9","1","0.2","no-visualization","500","300","2.218","4","0.3577129355226269","22.484"
"21","1","1","0.3","no-visualization","500","300","1","4","0.20079150483757843","41.426"
"20","10","1","0.2","no-visualization","500","300","2.274","4","0.35294727456940234","24.322"
"22","2","1","0.3","no-visualization","500","300","1.184","4","0.26253360959651023","35.36"
"24","4","1","0.3","no-visualization","500","300","1.532","4","0.29623372368041523","30.346"
"23","3","1","0.3","no-visualization","500","300","1.352","4","0.2810642746821905","31.524"
"26","6","1","0.3","no-visualization","500","300","1.78","4","0.3223576034558321","29.652"
"27","7","1","0.3","no-visualization","500","300","1.922","4","0.3294715195983784","27.798"
"25","5","1","0.3","no-visualization","500","300","1.608","4","0.3097952594581228","30.07"
"31","1","1","0.4","no-visualization","500","300","1","4","0.19135271227784892","43.762"
"33","3","1","0.4","no-visualization","500","300","1.372","4","0.33437343823990107","31.182"
"34","4","1","0.4","no-visualization","500","300","1.424","4","0.3151199659972368","30.534"
"28","8","1","0.3","no-visualization","500","300","1.94","4","0.3020381754848427","28.294"
"29","9","1","0.3","no-visualization","500","300","2.124","4","0.33362800864402936","26.652"
"32","2","1","0.4","no-visualization","500","300","1.202","4","0.31181875191711267","36.118"
"30","10","1","0.3","no-visualization","500","300","2.18","4","0.3022555753576414","28.034"
"35","5","1","0.4","no-visualization","500","300","1.676","4","0.3670622566650599","29.272"
"36","6","1","0.4","no-visualization","500","300","1.672","4","0.35900477815699666","28.91"
"37","7","1","0.4","no-visualization","500","300","1.852","4","0.3530497081835098","29.568"
"38","8","1","0.4","no-visualization","500","300","2.108","4","0.3633884202232939","26.154"
"41","1","1","0.5","no-visualization","500","300","1","4","0.22437494529008423","44.266"
"39","9","1","0.4","no-visualization","500","300","2.1","4","0.3645668124073483","28.58"
"42","2","1","0.5","no-visualization","500","300","1.284","4","0.3745754414396166","33.86"
"40","10","1","0.4","no-visualization","500","300","2.486","4","0.3611291999010111","26.464"
"44","4","1","0.5","no-visualization","500","300","1.642","4","0.43875236208473073","30.602"
"43","3","1","0.5","no-visualization","500","300","1.412","4","0.4127332485927004","32.008"
"45","5","1","0.5","no-visualization","500","300","1.656","4","0.42724214963119106","32.142"
"46","6","1","0.5","no-visualization","500","300","1.82","4","0.4560426572891979","30.146"
"47","7","1","0.5","no-visualization","500","300","2.03","4","0.45806724009269056","29.48"
"48","8","1","0.5","no-visualization","500","300","2.064","4","0.44921384499623784","29.248"
"49","9","1","0.5","no-visualization","500","300","2.224","4","0.464706148211642","29.704"
"50","10","1","0.5","no-visualization","500","300","2.25","4","0.46257598282127504","26.848"
"51","1","1","0.6","no-visualization","500","300","1","4","0.23271319765649043","44.46"
"53","3","1","0.6","no-visualization","500","300","1.544","4","0.46222321301645114","37.716"
"54","4","1","0.6","no-visualization","500","300","1.676","4","0.45479344147351103","32.09"
"52","2","1","0.6","no-visualization","500","300","1.448","4","0.44201587906347944","41.46"
"56","6","1","0.6","no-visualization","500","300","1.99","4","0.5014643115858262","31.894"
"55","5","1","0.6","no-visualization","500","300","1.782","4","0.45451587446123937","30.988"
"59","9","1","0.6","no-visualization","500","300","2.282","4","0.4856953097820929","29.472"
"57","7","1","0.6","no-visualization","500","300","1.972","4","0.48716775939675516","32.12"
"61","1","1","0.7","no-visualization","500","300","1","4","0.22807208676913265","44.318"
"58","8","1","0.6","no-visualization","500","300","2.004","4","0.46240379916931346","31.028"
"60","10","1","0.6","no-visualization","500","300","2.38","4","0.49917770063987293","33.426"
"62","2","1","0.7","no-visualization","500","300","1.482","4","0.42197136952231973","41.074"
"65","5","1","0.7","no-visualization","500","300","1.734","4","0.4644743666517484","35.906"
"67","7","1","0.7","no-visualization","500","300","2.096","4","0.46655767045853047","32.492"
"63","3","1","0.7","no-visualization","500","300","1.594","4","0.44802166903453","37.222"
"64","4","1","0.7","no-visualization","500","300","1.74","4","0.47161502114245113","34.514"
"69","9","1","0.7","no-visualization","500","300","2.166","4","0.48390456654322206","32.26"
"66","6","1","0.7","no-visualization","500","300","1.91","4","0.47817887376768115","33.82"
"68","8","1","0.7","no-visualization","500","300","1.996","4","0.48392014772873904","31.776"
"71","1","1","0.8","no-visualization","500","300","1","4","0.24690149441957224","44.762"
"72","2","1","0.8","no-visualization","500","300","1.514","4","0.38899754454200813","43.686"
"75","5","1","0.8","no-visualization","500","300","1.884","4","0.4406815094339624","32.65"
"70","10","1","0.7","no-visualization","500","300","2.256","4","0.47583457556526465","34.264"
"73","3","1","0.8","no-visualization","500","300","1.626","4","0.4257920051698675","35.896"
"74","4","1","0.8","no-visualization","500","300","1.724","4","0.4382926645295114","35.416"
"76","6","1","0.8","no-visualization","500","300","1.914","4","0.4336357963205204","32.118"
"77","7","1","0.8","no-visualization","500","300","2.174","4","0.4454483424361739","30.764"
"78","8","1","0.8","no-visualization","500","300","2.066","4","0.4580700474815212","31.002"
"79","9","1","0.8","no-visualization","500","300","2.266","4","0.46189192867198525","32.34"
"80","10","1","0.8","no-visualization","500","300","2.506","4","0.4552378065863532","32.328"
"82","2","1","0.9","no-visualization","500","300","1.514","4","0.3723345277412936","42.704"
"81","1","1","0.9","no-visualization","500","300","1","4","0.27333678236091014","43.528"
"83","3","1","0.9","no-visualization","500","300","1.666","4","0.42227255728835106","36.464"
"84","4","1","0.9","no-visualization","500","300","1.754","4","0.42684733821251813","35.118"
"85","5","1","0.9","no-visualization","500","300","1.838","4","0.44716158138674517","34.296"
"86","6","1","0.9","no-visualization","500","300","2.032","4","0.4682903205517936","31.672"
"87","7","1","0.9","no-visualization","500","300","2.118","4","0.4556890521279107","32.052"
"88","8","1","0.9","no-visualization","500","300","2.17","4","0.44437748212867356","31.652"
"89","9","1","0.9","no-visualization","500","300","2.256","4","0.46106356084052735","31.21"
"91","1","1","1","no-visualization","500","300","1","4","0.31259160818276843","43.5"
"92","2","1","1","no-visualization","500","300","1.456","4","0.37227552511796885","42.93"
"94","4","1","1","no-visualization","500","300","1.8","4","0.4322270236741448","34.156"
"90","10","1","0.9","no-visualization","500","300","2.344","4","0.4806891568842421","34.524"
"93","3","1","1","no-visualization","500","300","1.668","4","0.43703887202584935","36.376"
"95","5","1","1","no-visualization","500","300","1.856","4","0.4472154074702886","34.318"
"96","6","1","1","no-visualization","500","300","2.066","4","0.4640671289875173","32.728"
"100","10","1","1","no-visualization","500","300","2.132","4","0.4469322108994238","33.736"
"97","7","1","1","no-visualization","500","300","1.962","4","0.4587966528883959","34.038"
"103","3","1","1.1","no-visualization","500","300","1.6","4","0.3988554956020402","35.894"
"98","8","1","1","no-visualization","500","300","2.034","4","0.464912066718791","33.74"
"99","9","1","1","no-visualization","500","300","2.308","4","0.45973050865684495","31.35"
"102","2","1","1.1","no-visualization","500","300","1.482","4","0.3888745057115183","44.734"
"104","4","1","1.1","no-visualization","500","300","1.752","4","0.43605847953216376","34.112"
"101","1","1","1.1","no-visualization","500","300","1","4","0.28089136904287243","43.448"
"105","5","1","1.1","no-visualization","500","300","1.844","4","0.45401211779625184","35.51"
"107","7","1","1.1","no-visualization","500","300","2.024","4","0.4524172077533122","33.774"
"111","1","1","1.2","no-visualization","500","300","1","4","0.285871598110381","44.348"
"106","6","1","1.1","no-visualization","500","300","2.006","4","0.4500375619169361","32.974"
"108","8","1","1.1","no-visualization","500","300","2.08","4","0.4426220701218465","31.998"
"109","9","1","1.1","no-visualization","500","300","2.196","4","0.45822493343931237","33.424"
"110","10","1","1.1","no-visualization","500","300","2.206","4","0.4450889413771245","33.034"
"112","2","1","1.2","no-visualization","500","300","1.47","4","0.37476805953258713","41.072"
"113","3","1","1.2","no-visualization","500","300","1.614","4","0.43466751198280634","37.2"
"114","4","1","1.2","no-visualization","500","300","1.756","4","0.4309167994501205","34.788"
"115","5","1","1.2","no-visualization","500","300","1.87","4","0.4533429404766474","34.902"
"116","6","1","1.2","no-visualization","500","300","1.952","4","0.4375824440102204","32.654"
"117","7","1","1.2","no-visualization","500","300","2.104","4","0.46496727875792393","32.024"
"118","8","1","1.2","no-visualization","500","300","2.154","4","0.47665810552812066","31.498"
